id,texto,nivel
1,Toc Toc,1
2,Namái un turnu más,1
3,Toc Toc,1
4,Ya voi!,1
5,TOC TOC!!,1
6,Nun pue unu nin acabar una partida de Civilization tranquilu...,1
7,toc toc...,1
8,¡¡¡Que ya voi diz!!!,1
9,"Nun ha de tar en casa, voi dexar l'avisu pela puerta, ¿Certificáu? mmm... sí.",1
10,Hola...,1
11,Soi'l narrador d'esta hestoria...,1
12,Toos sabéis lo que duren les partíes de civilization...,1
13,"Finalmente'l nuesu prota, un últimu turnu siguíu por otru, conquistó tol mundu xeneráu. Namái-yllevó un par de díes más. Y lo que asocedió cuando finalmente se dignó a abrir la puerta hores más tarde... impresionónos a toos.",1
14,"Ey, ¡una carta de facienda! Facienda somos toos, seguro que son bones noticies, ¿Igual van regalame daqué pol miu cumpleaños?",1
15,Aquí diz que tengo 24 hores pa notificar una notificación nel departamentu de notificaciones sencielles...,1
16,¡¡¡O llegaráme una multa de 10.000 euros!!!,1
