id,texto,nivel
1,Toc Toc,1
2,Solo un turno más,1
3,Toc Toc,1
4,Ya vaaaa!,1
5,TOC TOC!!,1
6,No puede uno ni terminar una partida de civilization tranquilo...,1
7,toc toc...,1
8,¡¡¡Que ya vaaaaaa!!!,1
9,"No debe de estar en casa, dejaré el aviso por la puerta, ¿Certificado? mmm... sí.",1
10,Hola...,1
11,Soy el narrador de esta historia...,1
12,Todos sabeis lo que duran las partidas de civilization...,1
13,"Finalmente nuestro prota, un último turno seguido de otro último turno, conquistó todo el mundo generado, solo le llevó un par de dias más.y lo que sucedió cuando finalmente se dignó a abrir la puerta horas mas tarde... nos impresionó a todos.",1
14,"Hey, ¡una carta de hacienda! Hacienda somos todos, seguro que son buenas noticias, ¿Quizás van a regalarme algo por mi cumpleaños?",1
15,Aqui dice que tengo 24 horas para notificar una notificación en el departamento de notificaciones sencillas...,1
16,¡¡¡O me llegará una multa de 10.000 euros!!!,1
17,"¡Ah, Madrid! Donde las tapas son gratis y los atascos eternos. Desde que comenzó la pandemia, nuestro prota no ha salido mucho. ",2
18,"De hecho, la última vez que salió fue para intentar encontrar una zona sin gente jugando al 'Pokémon GO'...",2
19,"Nuestro protagonista parte sin demora al centro de trámites de notificaciones sencillas, donde...",2
20,"Marchaaaaaaando Una de calamares, los mejores calamares están en Madrid.",2
21,Uy uy uy... ¡Como me voy a poner!,2
22,¿¡Hola?! ¿Hay alguien aquí? ¡Tengo un papelito que dice que me quieren reclamar 10.000 euros y preferiría que no fuera así!,2
23,¿Hay alguien o esto es como el final de 'Lost' y me quedé esperando por nada?,2
24,"Si este lugar estuviera más vacío, le llamarían 'Promesas políticas'. Quizás encuentre algo en los mostradores",3
25,"Oh, la 'NerdFest'. La única convención donde el código binario es un segundo idioma y los debates sobre Star Wars vs. Star Trek son una religión... El lugar donde ir vestido normal es el verdadero disfraz.",3
26,"Oh, el galardón de 'Karaoke FameBelt'.Es como el Grammy para los que cantan solo en la ducha y en bares después de las 2 a.m.",3
27,Ah! esta taza... Parece de 'Café EliteQuest'. El único lugar donde el café cuesta más que una consola de nueva generación y aún así sabe a descarga ilegal.,3
28,"Esto me recuerda a esos videojuegos de antaño. Tres llaves, tres puertas... ¡y tres funcionarios a descubrir!",3
